Ministère des Affaires Etrangères;;;;
Conseil général du Loir et Cher;;Conseil général de Loir-et-Cher;;
Ministère de la Culture et de la Communication, Département des programmes numériques;;Ministère de la Culture et de la Communication;;Département des programmes numériques
Premier Ministre, Secrétariat général pour la modernisation de l'action publique (SGMAP);;Premier Ministre;;Secrétariat général pour la modernisation de l'action publique (SGMAP)
Ministère du Budget, des Comptes publics et de la Réforme de l'Etat, Service des achats de l'État;;Ministère de l'Economie et des Finances;;Service des achats de l'État
Ministère de la Défense et des Anciens combattants, SIRPA Air;;Ministère de la Défense;;SIRPA Air
Ministère du Travail, de l'Emploi et de la Santé, Direction de l'animation de la recherche, des études et des statistiques;; Ministère du travail, de l'emploi, de la formation professionnelle et du dialogue social;;Direction de l'animation de la recherche, des études et des statistiques
Ministère de l'Economie, des Finances et de l'Industrie, Inspection générale des finances;;Ministère de l'Economie et des Finances;;Inspection générale des finances
Ministère du Travail, de l'Emploi et de la Santé, Direction générale de l'offre de soins;;Ministère du travail, de l'emploi, de la formation professionnelle et du dialogue social;;Direction générale de l'offre de soins
Ministère du Travail, de l'Emploi et de la Santé, Direction de la recherche, des études, de l'évaluation et des statistiques;;Ministère du travail, de l'emploi, de la formation professionnelle et du dialogue social;;Direction de la recherche, des études, de l'évaluation et des statistiques
Ministère du Travail, de l'Emploi et de la Santé, Direction de la sécurité sociale;;Ministère du travail, de l'emploi, de la formation professionnelle et du dialogue social;;Direction de la sécurité sociale
Ministère du Budget, des Comptes publics et de la Réforme de l'Etat, Bureau GF 3C. Études statistiques en matière fiscale;;Ministère de l'Economie et des Finances;;Études statistiques en matière fiscale
Ministère de l'Economie, des Finances et de l'Industrie, Direction générale de la concurrence, de la consommation et de la répression des fraudes;;Ministère de l'Economie et des Finances;;Direction générale de la concurrence, de la consommation et de la répression des fraudes
Ministère du Budget, des Comptes publics et de la Réforme de l'Etat, Service France Domaine;;Ministère de l'Economie et des Finances;;Service France Domaine
Premier ministre;;;;
Ministère du Budget, des Comptes publics et de la Réforme de l'Etat, Direction générale de la modernisation de l'État;;Premier Ministre;;Secrétariat général pour la modernisation de l'action publique (SGMAP)
Ministère de l'Ecologie, du Développement durable, des Transports et du Logement, Direction de l'eau et de la biodiversité;;Ministère de l'Ecologie du Développement Durable et de l'Energie;;Direction de l'eau et de la biodiversité
Ministère du Budget, des Comptes publics et de la Réforme de l'Etat, 1e Sous-direction;;Ministère de l'Economie et des Finances;;Ministère du Budget, 1e Sous-direction
Ministère de la Culture et de la Communication, Département de la politique des publics;;Ministère de la Culture et de la Communication;;Département de la politique des publics
Ministère de la Culture et de la Communication, Service du livre et de la lecture;;Ministère de la Culture et de la Communication;;Service du livre et de la lecture
Ministère de la Culture et de la Communication, Mission de la communication interne;;Ministère de la Culture et de la Communication;;Mission de la communication interne
Ministère de la Culture et de la Communication, Sous-direction des affaires financières;;Ministère de la Culture et de la Communication;;Sous-direction des affaires financières
Ministère de la Culture et de la Communication, Délégation générale à la langue française et aux langues de France;;Ministère de la Culture et de la Communication;;Délégation générale à la langue française et aux langues de France
Premier Ministre, Délégation interministérielle à l'aménagement du territoire et à l'attractivité régionale;; Premier Ministre;;Délégation interministérielle à l'aménagement du territoire et à l'attractivité régionale
Premier Ministre, Commission pour l'indemnisation des victimes de spoliations intervenues du fait des législations antisémites en vigueur pendant l'occupation;;Premier Ministre;;Commission pour l'indemnisation des victimes de spoliations intervenues du fait des législations antisémites en vigueur pendant l'occupation
Ministère de la Défense et des Anciens combattants, Bureau des actions culturelles et des musées;;Ministère de la Défense;;Bureau des actions culturelles et des musées
Ministère de la Défense et des Anciens combattants, Bureau de la politique des archives et des bibliothèques;;Ministère de la Défense;;Bureau de la politique des archives et des bibliothèques
Ministère de la Défense et des Anciens combattants, Direction du service national;;Ministère de la Défense;;Direction du service national
Ministère de l'Ecologie, du Développement durable, des Transports et du Logement, Centre d'études sur les réseaux, les transports, l'urbanisme et les constructions publiques;;Ministère de l'Ecologie du Développement Durable et de l'Energie;;Centre d'études sur les réseaux, les transports, l'urbanisme et les constructions publiques
Ministère de la Ville, Secrétariat général du Comité interministériel des villes;;Ministère de l'Egalité des Territoires et du Logement;;Secrétariat général du Comité interministériel des villes
Premier Ministre, Service d'information du Gouvernement;;Premier Ministre;;Service d'information du Gouvernement
Premier Ministre, Commissaire général à l'investissement;;Premier Ministre;;Commissaire général à l'investissement
Premier Ministre, Mission interministérielle de vigilance et de lutte contre les dérives sectaires;;Premier Ministre;;Mission interministérielle de vigilance et de lutte contre les dérives sectaires
Ministère de l'Enseignement supérieur et de la Recherche, Département des outils d'aide au pilotage;;Ministère de l'Enseignement supérieur et de la Recherche;;Département des outils d'aide au pilotage
